CustomerID,Recency,Frequency,Monetary,Recency_Neglog,Frequency_Neglog,Monetary_Neglog,Recency_Scaled,Frequency_Scaled,Monetary_Scaled
12346,721,2,-0.157167967,6.582025139,1.098612289,-0.145975612,6.140826825,1.438133614,2.519535469
12347,510,193,0.072591247,6.23636959,5.267858159,0.070077447,9.582201081,5.943297498,4.445567346
12348,501,31,-0.003168469,6.21860012,3.465735903,-0.00316346,9.759115349,3.995977441,3.792652168
12349,890,69,0.140686555,6.792344427,4.248495242,0.131630322,4.046871186,4.841804052,4.99428811
12350,637,33,-0.034184265,6.458338283,3.526360525,-0.033612966,7.37226304,4.061486616,3.521206261
12352,589,72,0.088248662,6.380122537,4.290459441,0.084569672,8.15098526,4.887149326,4.574760091
12353,571,8,0.198757892,6.349138991,2.197224577,0.181285931,8.459459914,2.625261588,5.436949212
12354,558,105,0.282938434,6.326149473,4.663439094,0.249153098,8.688345394,5.290180117,6.041959517
12355,540,12,0.174154677,6.293419279,2.564949357,0.160548465,9.014209824,3.022614119,5.25208249
12356,581,50,0.134869597,6.366470448,3.931825633,0.126517752,8.28690655,4.49962023,4.948711465
12357,905,126,0.069232925,6.809039306,4.844187086,0.066941499,3.880655641,5.485491056,4.417611547
12358,873,17,0.081012084,6.773080376,2.890371758,0.077897717,4.238665625,3.374255949,4.515282114
12359,632,270,0.341604535,6.450470422,5.602118821,0.293866312,7.450596095,6.304489691,6.440561021
12360,924,123,0.082587943,6.829793738,4.820281566,0.079354418,3.674022864,5.459659457,4.528268061
12361,1159,10,-0.049500417,7.056175284,2.397895273,-0.048314257,1.420150101,2.842100412,3.39014977
12362,567,281,0.153228402,6.342121419,5.641907071,0.142565316,8.529327428,6.347483698,5.091769469
12363,572,38,0.086984215,6.350885717,3.663561646,0.083407087,8.442069377,4.209742094,4.564396078
12364,879,61,0.0251785,6.779921907,4.127134385,0.024866743,4.170550788,4.710665096,4.042530904
12367,876,10,-0.012322476,6.776506992,2.397895273,-0.012247172,4.204549955,2.842100412,3.71167429
12370,500,202,0.176739699,6.216606101,5.313205979,0.162747647,9.778967958,5.992299012,5.271687374
12372,553,61,0.041464965,6.317164687,4.127134385,0.040628342,8.777798646,4.710665096,4.183039634
12373,643,25,-0.000421295,6.467698726,3.258096538,-0.000421207,7.279069724,3.77160848,3.817098328
12374,897,29,-0.091704948,6.800170068,3.401197382,-0.087740647,3.968958481,3.926239023,3.038678314
12375,882,14,0.186368776,6.783325201,2.708050201,0.170897193,4.136667329,3.177244662,5.344337519
12377,497,73,0.119187134,6.210600077,4.304065093,0.112602648,9.838764413,4.901851191,4.824663543
12378,1001,215,0.073810727,6.909753282,5.375278408,0.071213749,2.877939254,6.059372644,4.455697052
12379,503,57,0.01997776,6.222576268,4.060443011,0.019780823,9.719528498,4.638600368,3.997191838
12380,893,99,0.315223573,6.795705775,4.605170186,0.274006668,4.01340534,5.227216457,6.263519761
12381,876,78,0.085569369,6.776506992,4.369447852,0.082104614,4.204549955,4.972501869,4.552785021
12383,495,130,0.07095808,6.206575927,4.875197323,0.068553649,9.878829175,5.518999802,4.431983262
12384,900,25,0.11982154,6.803505258,3.258096538,0.113169333,3.93575307,3.77160848,4.829715327
12386,509,8,-0.005683517,6.234410726,2.197224577,-0.005667427,9.601703693,2.625261588,3.770330243
12388,609,119,0.138944772,6.413458957,4.787491743,0.130102195,7.819085197,5.424227743,4.980665434
12391,893,91,-0.140074173,6.795705775,4.521788577,-0.131093324,4.01340534,5.137116754,2.65220548
12393,577,85,0.14992926,6.359573869,4.454347296,0.139700427,8.355569442,5.064241699,5.066230064
