CustomerID,Recency,Frequency,Monetary,Recency_Scaled,Frequency_Scaled,Monetary_Scaled,Cluster
12346,721,2,-0.157167967,6.140826825,1.438133614,2.519535469,1
12347,510,193,0.072591247,9.582201081000001,5.943297498,4.445567346,2
12348,501,31,-0.003168469,9.759115349,3.9959774410000004,3.792652168,1
12349,890,69,0.140686555,4.046871186000001,4.841804052,4.99428811,0
12350,637,33,-0.034184265,7.37226304,4.061486616,3.521206261,1
12352,589,72,0.08824866199999999,8.15098526,4.887149326,4.574760091,1
12353,571,8,0.198757892,8.459459914,2.6252615880000003,5.436949212000001,1
12354,558,105,0.28293843399999996,8.688345394,5.290180117,6.0419595170000004,2
12355,540,12,0.17415467699999998,9.014209824,3.0226141189999995,5.25208249,1
12356,581,50,0.13486959699999998,8.28690655,4.49962023,4.948711465,1
12357,905,126,0.069232925,3.880655641,5.485491056,4.417611547,0
12358,873,17,0.081012084,4.238665625,3.3742559489999997,4.515282114,0
12359,632,270,0.341604535,7.450596095,6.304489691000001,6.440561021000001,2
12360,924,123,0.082587943,3.674022864,5.459659457000001,4.528268061,0
12361,1159,10,-0.049500417000000005,1.420150101,2.8421004119999997,3.39014977,0
12362,567,281,0.15322840199999999,8.529327428,6.347483698,5.091769469,2
12363,572,38,0.086984215,8.442069377000001,4.209742094,4.564396078,1
12364,879,61,0.0251785,4.170550788,4.7106650960000005,4.0425309039999995,0
12367,876,10,-0.012322476,4.204549955,2.8421004119999997,3.71167429,0
12370,500,202,0.17673969899999997,9.778967957999999,5.992299012,5.271687374,2
12372,553,61,0.041464965,8.777798646,4.7106650960000005,4.183039634,1
12373,643,25,-0.000421295,7.279069724,3.77160848,3.817098328,1
12374,897,29,-0.09170494800000001,3.968958481,3.926239023,3.0386783139999998,0
12375,882,14,0.186368776,4.136667329,3.1772446619999997,5.344337519,0
12377,497,73,0.119187134,9.838764413,4.901851191,4.824663543,2
12378,1001,215,0.073810727,2.8779392539999997,6.059372644,4.455697052,0
12379,503,57,0.01997776,9.719528497999999,4.6386003680000005,3.997191838,2
12380,893,99,0.31522357300000003,4.01340534,5.227216457,6.263519761,0
12381,876,78,0.085569369,4.204549955,4.972501868999999,4.552785021,0
